MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000571 after 1400 iterations
res_norm = 0.000507 after 1500 iterations
res_norm = 0.000453 after 1600 iterations
res_norm = 0.000406 after 1700 iterations
res_norm = 0.000366 after 1800 iterations
res_norm = 0.000331 after 1900 iterations
res_norm = 0.000301 after 2000 iterations
res_norm = 0.000273 after 2100 iterations
res_norm = 0.000249 after 2200 iterations
res_norm = 0.000228 after 2300 iterations
res_norm = 0.000210 after 2400 iterations
res_norm = 0.000193 after 2500 iterations
res_norm = 0.000178 after 2600 iterations
res_norm = 0.000165 after 2700 iterations
res_norm = 0.000152 after 2800 iterations
res_norm = 0.000141 after 2900 iterations
res_norm = 0.000132 after 3000 iterations
res_norm = 0.000122 after 3100 iterations
res_norm = 0.000114 after 3200 iterations
res_norm = 0.000107 after 3300 iterations
res_norm = 0.000100 after 3400 iterations
res_norm = 0.000093 after 3500 iterations
res_norm = 0.000087 after 3600 iterations
res_norm = 0.000081 after 3700 iterations
res_norm = 0.000076 after 3800 iterations
res_norm = 0.000072 after 3900 iterations
res_norm = 0.000067 after 4000 iterations
res_norm = 0.000063 after 4100 iterations
Problem solved in 4197 iterations
res_norm = 0.011572 after 100 iterations
res_norm = 0.006518 after 200 iterations
res_norm = 0.004403 after 300 iterations
res_norm = 0.003232 after 400 iterations
res_norm = 0.002492 after 500 iterations
res_norm = 0.001985 after 600 iterations
res_norm = 0.001619 after 700 iterations
res_norm = 0.001344 after 800 iterations
res_norm = 0.001133 after 900 iterations
res_norm = 0.000966 after 1000 iterations
res_norm = 0.000832 after 1100 iterations
res_norm = 0.000723 after 1200 iterations
res_norm = 0.000633 after 1300 iterations
res_norm = 0.000558 after 1400 iterations
res_norm = 0.000495 after 1500 iterations
res_norm = 0.000442 after 1600 iterations
res_norm = 0.000395 after 1700 iterations
res_norm = 0.000356 after 1800 iterations
res_norm = 0.000322 after 1900 iterations
res_norm = 0.000292 after 2000 iterations
res_norm = 0.000266 after 2100 iterations
res_norm = 0.000243 after 2200 iterations
res_norm = 0.000223 after 2300 iterations
res_norm = 0.000205 after 2400 iterations
res_norm = 0.000188 after 2500 iterations
res_norm = 0.000173 after 2600 iterations
res_norm = 0.000160 after 2700 iterations
res_norm = 0.000148 after 2800 iterations
res_norm = 0.000138 after 2900 iterations
res_norm = 0.000128 after 3000 iterations
res_norm = 0.000119 after 3100 iterations
res_norm = 0.000111 after 3200 iterations
res_norm = 0.000103 after 3300 iterations
res_norm = 0.000097 after 3400 iterations
res_norm = 0.000090 after 3500 iterations
res_norm = 0.000085 after 3600 iterations
res_norm = 0.000079 after 3700 iterations
res_norm = 0.000074 after 3800 iterations
res_norm = 0.000070 after 3900 iterations
res_norm = 0.000066 after 4000 iterations
res_norm = 0.000062 after 4100 iterations
Problem solved in 4179 iterations
res_norm = 0.011816 after 100 iterations
res_norm = 0.006621 after 200 iterations
res_norm = 0.004456 after 300 iterations
res_norm = 0.003264 after 400 iterations
res_norm = 0.002512 after 500 iterations
res_norm = 0.001997 after 600 iterations
res_norm = 0.001626 after 700 iterations
