MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000515 after 600 iterations
res_norm = 0.000374 after 700 iterations
res_norm = 0.000279 after 800 iterations
res_norm = 0.000213 after 900 iterations
res_norm = 0.000166 after 1000 iterations
res_norm = 0.000131 after 1100 iterations
res_norm = 0.000104 after 1200 iterations
res_norm = 0.000083 after 1300 iterations
res_norm = 0.000067 after 1400 iterations
res_norm = 0.000055 after 1500 iterations
res_norm = 0.000045 after 1600 iterations
Problem solved in 1699 iterations
res_norm = 0.012401 after 100 iterations
res_norm = 0.003515 after 200 iterations
res_norm = 0.001628 after 300 iterations
res_norm = 0.000946 after 400 iterations
res_norm = 0.000602 after 500 iterations
res_norm = 0.000402 after 600 iterations
res_norm = 0.000281 after 700 iterations
res_norm = 0.000202 after 800 iterations
res_norm = 0.000149 after 900 iterations
res_norm = 0.000112 after 1000 iterations
res_norm = 0.000086 after 1100 iterations
res_norm = 0.000066 after 1200 iterations
res_norm = 0.000052 after 1300 iterations
res_norm = 0.000041 after 1400 iterations
Problem solved in 1464 iterations
res_norm = 0.012093 after 100 iterations
res_norm = 0.003497 after 200 iterations
res_norm = 0.001639 after 300 iterations
res_norm = 0.000962 after 400 iterations
res_norm = 0.000615 after 500 iterations
res_norm = 0.000415 after 600 iterations
res_norm = 0.000290 after 700 iterations
res_norm = 0.000209 after 800 iterations
res_norm = 0.000154 after 900 iterations
res_norm = 0.000115 after 1000 iterations
res_norm = 0.000087 after 1100 iterations
res_norm = 0.000066 after 1200 iterations
res_norm = 0.000051 after 1300 iterations
res_norm = 0.000040 after 1400 iterations
Problem solved in 1438 iterations
res_norm = 0.011281 after 100 iterations
res_norm = 0.003471 after 200 iterations
res_norm = 0.001685 after 300 iterations
res_norm = 0.001012 after 400 iterations
res_norm = 0.000655 after 500 iterations
res_norm = 0.000445 after 600 iterations
res_norm = 0.000314 after 700 iterations
res_norm = 0.000227 after 800 iterations
res_norm = 0.000168 after 900 iterations
res_norm = 0.000127 after 1000 iterations
res_norm = 0.000097 after 1100 iterations
res_norm = 0.000074 after 1200 iterations
res_norm = 0.000058 after 1300 iterations
res_norm = 0.000045 after 1400 iterations
Problem solved in 1498 iterations
res_norm = 0.012868 after 100 iterations
res_norm = 0.003633 after 200 iterations
res_norm = 0.001696 after 300 iterations
res_norm = 0.001002 after 400 iterations
res_norm = 0.000648 after 500 iterations
res_norm = 0.000440 after 600 iterations
res_norm = 0.000310 after 700 iterations
res_norm = 0.000224 after 800 iterations
res_norm = 0.000166 after 900 iterations
res_norm = 0.000124 after 1000 iterations
res_norm = 0.000094 after 1100 iterations
res_norm = 0.000072 after 1200 iterations
res_norm = 0.000056 after 1300 iterations
res_norm = 0.000044 after 1400 iterations
Problem solved in 1479 iterations
res_norm = 0.010411 after 100 iterations
res_norm = 0.003324 after 200 iterations
res_norm = 0.001647 after 300 iterations
res_norm = 0.000975 after 400 iterations
res_norm = 0.000625 after 500 iterations
res_norm = 0.000421 after 600 iterations
res_norm = 0.000294 after 700 iterations
res_norm = 0.000211 after 800 iterations
res_norm = 0.000155 after 900 iterations
res_norm = 0.000116 after 1000 iterations
res_norm = 0.000087 after 1100 iterations
res_norm = 0.000067 after 1200 iterations
res_norm = 0.000051 after 1300 iterations
res_norm = 0.000040 after 1400 iterations
Problem solved in 1439 iterations
res_norm = 0.011574 after 100 iterations
res_norm = 0.003486 after 200 iterations
res_norm = 0.001684 after 300 iterations
res_norm = 0.000998 after 400 iterations
res_norm = 0.000643 after 500 iterations
res_norm = 0.000435 after 600 iterations
res_norm = 0.000305 after 700 iterations
res_norm = 0.000220 after 800 iterations
res_norm = 0.000161 after 900 iterations
res_norm = 0.000120 after 1000 iterations
res_norm = 0.000090 after 1100 iterations
res_norm = 0.000069 after 1200 iterations
res_norm = 0.000053 after 1300 iterations
res_norm = 0.000041 after 1400 iterations
Problem solved in 1448 iterations
res_norm = 0.011237 after 100 iterations
res_norm = 0.003341 after 200 iterations
res_norm = 0.001596 after 300 iterations
res_norm = 0.000936 after 400 iterations
res_norm = 0.000599 after 500 iterations
res_norm = 0.000403 after 600 iterations
res_norm = 0.000281 after 700 iterations
res_norm = 0.000202 after 800 iterations
res_norm = 0.000149 after 900 iterations
res_norm = 0.000111 after 1000 iterations
res_norm = 0.000084 after 1100 iterations
res_norm = 0.000065 after 1200 iterations
res_norm = 0.000050 after 1300 iterations
res_norm = 0.000039 after 1400 iterations
Problem solved in 1440 iterations
res_norm = 0.012716 after 100 iterations
res_norm = 0.003577 after 200 iterations
res_norm = 0.001657 after 300 iterations
res_norm = 0.000973 after 400 iterations
res_norm = 0.000627 after 500 iterations
res_norm = 0.000425 after 600 iterations
res_norm = 0.000299 after 700 iterations
res_norm = 0.000217 after 800 iterations
res_norm = 0.000160 after 900 iterations
res_norm = 0.000120 after 1000 iterations
res_norm = 0.000091 after 1100 iterations
res_norm = 0.000070 after 1200 iterations
res_norm = 0.000054 after 1300 iterations
res_norm = 0.000042 after 1400 iterations
Problem solved in 1469 iterations
res_norm = 0.012081 after 100 iterations
res_norm = 0.003440 after 200 iterations
res_norm = 0.001613 after 300 iterations
res_norm = 0.000949 after 400 iterations
res_norm = 0.000610 after 500 iterations
res_norm = 0.000413 after 600 iterations
res_norm = 0.000291 after 700 iterations
res_norm = 0.000209 after 800 iterations
res_norm = 0.000154 after 900 iterations
res_norm = 0.000116 after 1000 iterations
res_norm = 0.000088 after 1100 iterations
res_norm = 0.000067 after 1200 iterations
res_norm = 0.000052 after 1300 iterations
res_norm = 0.000041 after 1400 iterations
Problem solved in 1456 iterations
res_norm = 0.013027 after 100 iterations
res_norm = 0.003551 after 200 iterations
res_norm = 0.001614 after 300 iterations
res_norm = 0.000936 after 400 iterations
res_norm = 0.000596 after 500 iterations
res_norm = 0.000399 after 600 iterations
res_norm = 0.000278 after 700 iterations
res_norm = 0.000199 after 800 iterations
res_norm = 0.000146 after 900 iterations
res_norm = 0.000109 after 1000 iterations
res_norm = 0.000082 after 1100 iterations
res_norm = 0.000063 after 1200 iterations
res_norm = 0.000048 after 1300 iterations
res_norm = 0.000037 after 1400 iterations
Problem solved in 1418 iterations
res_norm = 0.010758 after 100 iterations
res_norm = 0.002887 after 200 iterations
res_norm = 0.001280 after 300 iterations
res_norm = 0.000700 after 400 iterations
res_norm = 0.000417 after 500 iterations
res_norm = 0.000262 after 600 iterations
res_norm = 0.000171 after 700 iterations
res_norm = 0.000115 after 800 iterations
res_norm = 0.000079 after 900 iterations
res_norm = 0.000055 after 1000 iterations
res_norm = 0.000040 after 1100 iterations
Problem solved in 1151 iterations
res_norm = 0.010482 after 100 iterations
res_norm = 0.002879 after 200 iterations
res_norm = 0.001295 after 300 iterations
res_norm = 0.000712 after 400 iterations
res_norm = 0.000426 after 500 iterations
res_norm = 0.000268 after 600 iterations
res_norm = 0.000175 after 700 iterations
res_norm = 0.000117 after 800 iterations
res_norm = 0.000080 after 900 iterations
res_norm = 0.000056 after 1000 iterations
res_norm = 0.000039 after 1100 iterations
Problem solved in 1143 iterations
res_norm = 0.009804 after 100 iterations
res_norm = 0.002887 after 200 iterations
res_norm = 0.001349 after 300 iterations
res_norm = 0.000761 after 400 iterations
res_norm = 0.000463 after 500 iterations
res_norm = 0.000295 after 600 iterations
res_norm = 0.000195 after 700 iterations
res_norm = 0.000133 after 800 iterations
res_norm = 0.000092 after 900 iterations
res_norm = 0.000065 after 1000 iterations
res_norm = 0.000046 after 1100 iterations
Problem solved in 1197 iterations
res_norm = 0.011167 after 100 iterations
res_norm = 0.002990 after 200 iterations
res_norm = 0.001343 after 300 iterations
res_norm = 0.000750 after 400 iterations
res_norm = 0.000455 after 500 iterations
res_norm = 0.000290 after 600 iterations
res_norm = 0.000192 after 700 iterations
res_norm = 0.000130 after 800 iterations
res_norm = 0.000090 after 900 iterations
res_norm = 0.000063 after 1000 iterations
res_norm = 0.000045 after 1100 iterations
Problem solved in 1186 iterations
res_norm = 0.009056 after 100 iterations
res_norm = 0.002768 after 200 iterations
res_norm = 0.001308 after 300 iterations
res_norm = 0.000730 after 400 iterations
res_norm = 0.000439 after 500 iterations
res_norm = 0.000277 after 600 iterations
res_norm = 0.000181 after 700 iterations
res_norm = 0.000122 after 800 iterations
res_norm = 0.000083 after 900 iterations
res_norm = 0.000058 after 1000 iterations
res_norm = 0.000041 after 1100 iterations
Problem solved in 1156 iterations
res_norm = 0.010078 after 100 iterations
res_norm = 0.002888 after 200 iterations
res_norm = 0.001336 after 300 iterations
res_norm = 0.000747 after 400 iterations
res_norm = 0.000452 after 500 iterations
res_norm = 0.000287 after 600 iterations
res_norm = 0.000188 after 700 iterations
res_norm = 0.000127 after 800 iterations
res_norm = 0.000087 after 900 iterations
res_norm = 0.000060 after 1000 iterations
res_norm = 0.000043 after 1100 iterations
Problem solved in 1167 iterations
res_norm = 0.009736 after 100 iterations
res_norm = 0.002752 after 200 iterations
res_norm = 0.001254 after 300 iterations
res_norm = 0.000691 after 400 iterations
res_norm = 0.000413 after 500 iterations
res_norm = 0.000260 after 600 iterations
res_norm = 0.000169 after 700 iterations
res_norm = 0.000114 after 800 iterations
res_norm = 0.000078 after 900 iterations
res_norm = 0.000054 after 1000 iterations
res_norm = 0.000038 after 1100 iterations
Problem solved in 1141 iterations
res_norm = 0.011042 after 100 iterations
res_norm = 0.002944 after 200 iterations
res_norm = 0.001309 after 300 iterations
res_norm = 0.000725 after 400 iterations
res_norm = 0.000438 after 500 iterations
res_norm = 0.000278 after 600 iterations
res_norm = 0.000183 after 700 iterations
res_norm = 0.000124 after 800 iterations
res_norm = 0.000085 after 900 iterations
res_norm = 0.000060 after 1000 iterations
res_norm = 0.000043 after 1100 iterations
Problem solved in 1170 iterations
res_norm = 0.010466 after 100 iterations
res_norm = 0.002828 after 200 iterations
res_norm = 0.001271 after 300 iterations
